nome,aceite,genero,notas
Bestasbé,Não,,
Betânia,Sim,,revoga despacho anterior
Betanio,Não,,
Betânio,Não,,
Beth,Não,,
Bétia,Sim,F,
Betina,Sim,,
Betino,Sim,M,
Beto,Sim,,
Betsabé,Sim,F,
Betsabeia,Não,,
Betsabeth,Não,,
Bhavika,Não,,
Bia,Sim,F,
Biana,Sim,F,
Bianca,Sim,,
Bianor,Sim,,
Biara,Não,,
Biatriz,Não,F,
Bibi,Não,,
Bibiana,Sim,,
Bibila,Não,,
Bibili,Sim,F,
Bijal,Sim,F,
Bil,Não,,
Bila,Não,,
Bina,Sim,,
Bino,Não,,
Binta,Não,,
Binucha,Não,,
Birílio,Não,,
Birilo,Não,,
Bitia,Sim,F,
Biute,Não,,
Blacina,Não,,
Blaise,Não,,
Blandina,Sim,F,
Blásia,Sim,,
Bluete,Não,,
Boanerges,Sim,,
Boavida,Sim,,
Bolena,Não,,
Bonança,Não,,"só no conjunto ""Maria da Bonança"""
Bonina,Não,,
Bonita,Não,,
Bóris,Sim,M,
Bosco,Não,,"só no conjunto ""JOÃO BOSCO"""
Brain,Não,,
Branca,Sim,,
Branca Flor,Sim,,
Branco,Não,,
Brandão,Sim,M,
Brandelina,Não,,
Brás,Sim,M,
Brásia,Sim,,
Brasília,Não,,
Brasilina,Não,,
Brasilino,Não,,
Brasinda,Não,,
Bráulio,Sim,,
Brázia,Sim,,
Brelca,Não,,
Brena,Sim,,
Brenda,Sim,,
Brénea,Não,,
Breno,Sim,,
Brian,Sim,M,
Briana,Sim,F,
Briano,Não,,
Brice,Sim,,como segundo elemento do nome
Brícia,Sim,,
Brida,Não,,
Brígida,Sim,F,
Brígido,Sim,M,
Brigite,Sim,,
Brilhante,Não,,
Brilhantina,Não,,
Brilhantino,Não,,
Brino,Não,,
Briolanjo,Sim,,
Briosa,Sim,F,como segundo elemento do nome
Brisa,Não,,
Brita,Não,,
Britânia,Não,,
Brites,Sim,,
Brito,Não,,
Britta,Não,,
Britta Nórdica,Não,,
Brizelinda,Não,,
Brizida,Sim,F,
Bruce,Sim,,
Bruna,Sim,,
Brunei,Não,,
Brúnel,Não,,
Brunilde,Sim,F,
Bryan,Não,,
Buanami,Não,,
Cácia,Sim,F,
Cacilda,Não,,
Cadia,Não,,
Cádio,Não,,
Cadu,Não,,
Caetana,Sim,F,
Caetano,Sim,M,
Caia,Sim,F,
Caiane,Não,,
Caíco,Sim,M,
Caila,Não,,
Cailane,Não,,
Cailany,Não,,
Caio,Sim,M,
Caionara,Não,,
Caique,Não,,
Caiús,Não,,
Caleb,Sim,M,
Calebe,Não,,
Calei,Não,,
Cali,Não,,
Calila,Sim,F,
Calisto,Sim,M,
Caluxo,Não,M,
Calvin,Não,,
Camala,Não,,
Câmea,Não,,
Camélia,Sim,F,
Camila,Sim,F,
Camões,Não,,
Candice,Sim,F,
Cândido,Sim,M,
Candinho,Não,,
Candisse,Não,,
Candy,Não,,
Cânia,Sim,,
Canto,Sim,M,
Capilupi,Não,,
Cardia,Não,,
Cárdia,Não,,
Cardinal,Não,,
Cardo,Não,,
Carel,Não,,
Carela,Sim,,
Cáren,Sim,F,revoga o despacho de 05-07-1978
Carenina,Não,,
Cária,Não,,
Carícia,Não,,
Cárin,Sim,F,
Carina,Sim,,
Carine,Não,,
Cario,Não,,
Carisa,Sim,,
Carísia,Sim,F,
Carissa,Sim,F,
Cárita,Sim,,
Carla,Sim,,
Carla da Agonia,Sim,,
Carlinda,Sim,,
Carlisa,Não,,
Carlo,Sim,M,
Carlos,Sim,,
Carlota,Sim,F,
Carlotta,Não,,
Carma,Não,,
Carmália,Não,,
Carmélia,Sim,,
Carmelina,Sim,F,
Carmelinda,Sim,F,
Carmelita,Sim,,
Carmem,Não,,
Cármen,Sim,,
Carmencita,Não,,
Carmério,Sim,M,
Carmezinda,Sim,F,
Carmim,Sim,M,
Carmin,Não,,
Carmina,Sim,,
Cármina,Não,,
