M;     Anilton
F;      Analie           
M;     Anílton
F;      Analina           
M;      Anis
F;       Analu            
M;     Anísio
F;     Analúcia           
M;      Ankit
F;       Anam             
M;     Anmol
F;     Anamar             
M;      Ansel
F;    Anamaria            
M;   Anselmo
F;      Anami             
M;   Anshdeep
F;      Ananda            
M;     Antero
F;      Ananya            
M;    Anthoni
F;    Anastacia           
M;    Anthony
F;    Anastácia           
M;    Antoine
F;    Anastasia           
M;     Anton
F;    Anastasiia          
M;     Antón
F;    Anastasiya          
M;     Antoni
F;    Anastassia          
M;    Antonin
F;       Anaya            
M;   Antonino
F;      Anayah            
M;    Antonio
F;      Anayse            
M;    António
F;     Andersa            
M;    Antônio
F;       Andra            
M;    Antony
F;     Andrada            
M;     Anval
F;   Andra-Ioana          
M;     Anyer
F;      Andrea            
M;     Anyfá
F;      Andréa            
M;    Anylson
F;     Andreea            
M;      Aous
F;     Andreia            
M;     Aousaf
F;     Andreína           
M;     Apolo
F;     Andrelys           
M;    Aquiles
F;     Andresa            
M;      Arad
F;     Andressa           
M;     Aramis
F;     Ándressa           
M;      Arão
F;      Ândria            
M;      Arbin
F;     Andriana           
M;    Arcanjo
F;      Ândrya            
M;    Arcelino
F;      Aneira            
M;     Arham
F;      Anelia            
M;       Ari
F;      Anércia           
M;      Arian
F;       Angel            
M;   Ariclenes
F;      Angela            
M;      Ariel
F;      Ângela            
M;      Ariful
F;    Angelena            
M;      Arin
F;      Angelic           
M;      Arion
F;     Angélica           
M;   Aristides
F;     Angelika           
M;      Arius
F;     Angélika           
M;      Arjun
F;     Angelina           
M;      Arley
F;     Angélina           
M;    Arlindo
F;     Angeline           
M;      Arlo
F;     Angelini           
M;    Armaan
F;       Angie              
M;     Arman
F;      Anglina             
M;    Armand
F;        Angy              
M;   Armandino
F;         Anh              
M;    Armando
F;        Ania              
M;    Arménio
F;        Ânia              
M;    Armindo
F;       Aniana             
M;    Armínio
F;       Aniara             
M;    Arnaldo
F;       Anícia             
M;      Arnav
F;        Anik              
M;      Aron
F;       Anika              
M;      Arpit
F;       Aníria             
M;      Arryn
F;        Anisa             
M;     Arseni
F;        Anise             
M;     Arsenie
F;       Anisha             
M;     Arsenii
F;       Anisia             
M;     Arsénio
F;       Anísia             
M;       Arsh
F;        Anita             
M;    Arshman
F;       Aniyah             
M;        Art
F;        Anna              
M;     Artem
F;     Annabelle            
M;    Artemiy
F;   Anna-Carolina          
M;     Arteom
F;       Annael             
M;     Arthem
F;      Annalisa            
M;     Arthur
F;      Annalya             
M;    Artimisio
F;     Annanaya             
M;     Artiom
F;      Annaysa             
M;      Artur
F;        Anne              
M;     Artyom
F;     Anneliese            
M;       Ary
F;      Annelise            
M;      Aryan
F;      Annelys             
M;      Asad
F;      Anneura             
M;      Asafe
F;        Anni              
M;     Asahel
F;       Annick             
M;      Asen
F;       Annie              
M;       Aser
F;        Anny              
M;      Ashan
F;   Annye-Keller           
M;      Asher
F;       Anoek              
M;     Ashley
F;        Ansa              
M;      Asiel
F;     Antonela             
M;      Aslam
F;     Antonella            
M;       Asse
F;      Antonia             
M;     Assiano
F;      Antónia             
M;    Assimiou
F;     Antonieta            
M;      Assis
F;      Anuque              
M;    Asstemír
F;     Anuradha             
M;      Atesh
F;      Anureet             
M;      Athos
F;      Anurroi             
M;      Atílio
F;      Anusca              
M;      Atlas
F;     Anvika           
M;      Atreyu
F;      Anya            
M;      Auany
F;    Anyara            
M;     Augusto
F;     Anyra            
M;    Aureliano
F;    Apolline          
M;    Aurélien
F;      April           
M;     Aurélio
F;    Aqeela            
M;      Aureo
F;      Aqsa            
M;      Austin
F;     Aquila           
M;     Avelino
F;     Aralyn           
M;        Avi
F;     Archel           
M;      Avijot
F;    Areana            
M;       Axel
F;     Aretta           
M;      Axkan
F;      Aria            
M;      Ayaan
F;      Ária            
M;     Ayame
F;    Ariadna           
M;      Ayami
F;    Ariadne           
M;       Ayan
F;   Ariadnne           
M;      Ayden
F;     Ariana           
M;      Aykel
F;     Ariane           
M;      Aylan
F;    Arianna           
M;      Ayllen
F;    Arianne           
M;      Aylton
F;     Ariany           
M;     Ayman
F;      Ariel           
M;     Aymen
F;     Ariela           
M;      Ayoub
F;     Ariele           
M;      Ayran
F;     Ariella          
M;     Ayrton
F;     Arielly          
M;      Ayush
F;   Arihanna           
M;   Ayushman
F;     Arima            
M;       Azael
F;     Arina            
M;       Azan
F;     Arione           
M;     Azarias
F;     Arisha           
M;       Aziel
F;     Arlete           
M;        Aziz
F;    Arlinda           
M;     Azizjon
F;     Arline           
M;      Azmat
F;   Armanda            
M;      Aznei
F;    Arnoor            
M;      Bachir
F;      Aroa            
M;     Badara
F;     Arohi            
M;       Badr
F;     Aroshi           
M;    Baichuan
F;    Arsénia           
M;     Baltasar
F;      Arsh            
M;     Baltazar
F;   Arshpreet          
M;    Balthazar
F;     Aruna            
M;     Bambo
F;     Arushi           
M;     Baniran
F;      Arwa            
M;       Bara
F;       Ary            
M;      Barack
F;      Arya            
M;   Bartolomeu
F;       Árya             
M;       Basil
F;     Aryana             
M;      Basile
F;    Aryanna             
M;      Basiru
F;      Arybel            
M;     Bastian
F;     Aryelle            
M;     Batiste
F;      Aryhel            
M;    Bekoloya
F;     Asheley            
M;   Belarmino
F;    Asheleya            
M;     Belchior
F;      Ashley            
M;      Bélcio
F;    Ashmeet             
M;     Belmiro
F;     Asmaa              
M;       Ben
F;      Ásmin             
M;     Benard
F;       Assia            
M;    Bendavid
F;    Assiatou            
M;     Ben-Hur
F;    Assiyatou           
M;     Benicio
F;      Assma             
M;     Benício
F;     Assmaa             
M;    Benilson
F;     Assmah             
M;   Benjahmim
F;      Assnat            
M;   Benjamim
F;    Assunção            
M;    Benjamin
F;      Astrid            
M;    Benjamín
F;       Asvi             
